mkt,k,method,sharpe,ret,dd,flips_k,agree,edge_bp,bos_ft,bos_win,cho_ft,cho_win,sh1,sh2,nev
BTC-D1,3,wick,0.5331956400489143,199.06945663777816,115.45496683777085,34.63441451346894,52.48464544946957,11.527097539922739,706.6693075775777,59.70149253731343,75.38369480532,50.81967213114754,0.27583490146015766,0.8274593340719671,130
BTC-D1,3,close,0.5377389267284166,200.7607296699648,77.41511011673508,47.82847718526663,53.15466219988833,6.683875678678614,163.04183801471342,50.0,101.1633248781726,46.98795180722892,0.6716823631829167,0.3883224167266007,175
BTC-D1,4,wick,0.8459423702602525,312.3128475565232,123.42370300690808,24.73886750962067,55.436619718309856,18.306377333684303,541.7493705071903,57.89473684210527,182.54430064375143,48.837209302325576,0.6258981192273922,1.0935600114834068,102
BTC-D1,4,close,0.6281014331598713,233.21870368205077,108.07648508696231,35.184167124793845,54.78991596638656,11.782118586237974,210.6064120892388,47.82608695652174,86.07975636054135,47.540983606557376,0.6424547201927503,0.6142512746168347,133
BTC-D1,5,wick,0.6738103522685954,248.78341711673846,117.45114621821217,19.24134139637163,52.311161217587376,11.354193834620814,319.4287795511116,48.888888888888886,328.34537063979883,53.125,0.3247928922748293,1.0645453510515974,79
BTC-D1,5,close,0.3800905313100641,141.1779291652956,154.10388537147304,31.335898845519516,50.02801120448179,3.0628003798481664,158.81009218982305,43.859649122807014,178.24726585845076,47.27272727272727,0.5727098367673883,0.16540314013149354,113
EUR-H1,2,wick,0.3207480645075432,2.328797278300905,8.332661417287424,48.5140562248996,50.129073894804776,-0.08011823844056103,-2.45415708891082,52.52525252525253,2.5117548350621552,54.15282392026578,-0.4875595193531268,1.2077003651258669,599
EUR-H1,2,close,-1.1746642098879199,-8.53998605789223,11.196514829325322,78.07228915662651,50.52461662631155,-0.03355077465159848,-1.6668903186122173,51.358024691358025,0.8590354933513045,51.958762886597945,-1.9807459222023711,-0.295341178186172,892
EUR-H1,3,wick,0.08374029571416079,0.6076238112128297,6.233509298928257,37.26907630522088,48.6254851228978,-0.08483151491571116,0.0975520508186179,51.388888888888886,3.0440450856346186,56.27705627705628,-1.043616895716077,1.3169619606884997,448
EUR-H1,3,close,-0.6888228335081504,-5.005646768352998,9.131768241815198,56.54618473895582,50.47696038803557,-0.02276579338293424,-1.227091381237966,54.74452554744526,1.7293505556921527,51.566951566951566,-1.177339657475809,-0.1566159005282583,626
EUR-H1,4,wick,-0.2036789402265462,-1.4780186509457136,7.3608843779892075,29.236947791164656,47.94631306597672,-0.12840458564158552,0.6077256997232687,51.515151515151516,1.9619158983886384,57.4585635359116,-1.1010991093778524,0.7781141860142684,347
EUR-H1,4,close,-0.8510180027009343,-6.180154034265086,11.913111764044041,43.05220883534137,49.296685529506874,-0.07316347060483336,0.3956620347134351,53.08056872037915,1.2260088821957986,55.80524344569289,-1.432082413209245,-0.21828250531056465,479
EUR-H1,5,wick,0.025454064489236032,0.18437555236214317,6.851459622364627,21.84738955823293,48.82514989466861,-0.06062692186611104,1.2660165697670764,51.048951048951054,1.522656690041749,56.2962962962963,-0.4864853356290948,0.5843407664355019,279
EUR-H1,5,close,-0.7109389427409526,-5.158895766719102,9.41571222782273,33.4136546184739,49.13500404203719,-0.09932937679434366,-2.2165976750819465,47.953216374269005,0.7570499358374161,57.971014492753625,-1.1994564216551693,-0.17864144561189704,379
